Dig, Place, County, Label, Type, Latitude, Longitude
"2011","Ashwell","Hertfordshire","1","PIT",52.03755374047055,-0.16189795504476973
"2011","Ashwell","Hertfordshire","2","PIT",52.039452820267584,-0.16047614976507668
"2011","Ashwell","Hertfordshire","3","PIT",52.03984673515511,-0.15695082140199368
"2011","Ashwell","Hertfordshire","4","PIT",52.038687987095216,-0.15899213096408196
"2011","Ashwell","Hertfordshire","5","PIT",52.040034978672786,-0.15854417463171455
"2011","Ashwell","Hertfordshire","6","PIT",52.04062359811002,-0.15824503709453377
"2011","Ashwell","Hertfordshire","7","PIT",52.03964742981797,-0.15797694160538395
"2011","Ashwell","Hertfordshire","8","PIT",52.03828063202831,-0.1570869574792249
"2011","Ashwell","Hertfordshire","9","PIT",52.038062552740016,-0.15803532917869167
"2011","Ashwell","Hertfordshire","10","PIT",52.03921654495784,-0.1555680637357187
"2011","Ashwell","Hertfordshire","11","PIT",52.04229668592676,-0.15482405319393205
"2011","Ashwell","Hertfordshire","12","PIT",52.042863858031254,-0.15442282944255686
"2011","Ashwell","Hertfordshire","13","PIT",52.04172287138416,-0.15483991266298588
"2011","Ashwell","Hertfordshire","14","PIT",52.041148822109044,-0.1548824148963886
"2011","Ashwell","Hertfordshire","15","PIT",52.04153105944385,-0.15355834037174868
"2011","Ashwell","Hertfordshire","16","PIT",52.04094041232242,-0.15358763045182175
"2011","Ashwell","Hertfordshire","17","PIT",52.041302112948394,-0.151986575921047
"2011","Ashwell","Hertfordshire","18","PIT",52.04225591776911,-0.15164848982393472
"2011","Ashwell","Hertfordshire","19","PIT",52.04166047442555,-0.15074692606095383
"2011","Ashwell","Hertfordshire","20","PIT",52.038015043965046,-0.15350572277250774
"2011","Ashwell","Hertfordshire","21","PIT",52.03764398603387,-0.1547398085551945
"2011","Ashwell","Hertfordshire","22","PIT",52.040340396210034,-0.15303130586369973
"2011","Ashwell","Hertfordshire","23","PIT",52.039580392466085,-0.15338845159372583
"2011","Ashwell","Hertfordshire","24","PIT",52.038770833237024,-0.1515351955780896
"2011","Ashwell","Hertfordshire","25","PIT",52.04013226944657,-0.1511910788499944
"2011","Ashwell","Hertfordshire","26","PIT",52.039735721403915,-0.14994588811576753
"2011","Ashwell","Hertfordshire","27","PIT",52.04088834722749,-0.14957402579178822
"2011","Ashwell","Hertfordshire","28","PIT",52.04068068361772,-0.14830872073054488
"2011","Ashwell","Hertfordshire","29","PIT",52.042185810332114,-0.1476321283604685
"2011","Ashwell","Hertfordshire","30","PIT",52.04277346246824,-0.14600482776223028
"2011","Ashwell","Hertfordshire","31","PIT",52.04193501535102,-0.1435533028029251
"2011","Ashwell","Hertfordshire","32","PIT",52.04503098433189,-0.1445501206287078
"2011","Ashwell","Hertfordshire","33","PIT",52.04153211160154,-0.14232686506082884
"2011","Ashwell","Hertfordshire","34","PIT",52.038245188931796,-0.12892559493102615
"2011","Ashwell","Hertfordshire","1","COR",52.041855699573844,-0.14902920093175823
"2011","Ashwell","Hertfordshire","2","COR",52.038507385572764,-0.15322910164886414
"2011","Ashwell","Hertfordshire","3","COR",52.04050258486423,-0.1549177799584666
"2011","Ashwell","Hertfordshire","4","COR",52.042714828580536,-0.15627768304997258
"2011","Ashwell","Hertfordshire","5","COR",52.03768130634984,-0.16083503381741335
"2011","Ashwell","Hertfordshire","6","COR",52.04500773576311,-0.15862607695343808
"2011","Ashwell","Hertfordshire","7","COR",52.04399214490541,-0.15284180077892903
"2011","Ashwell","Hertfordshire","8","COR",52.04423538169643,-0.14764720388617666
"2011","Ashwell","Hertfordshire","9","COR",52.03695747445553,-0.1474029429790519
"2011","Ashwell","Hertfordshire","10","COR",52.03835880525379,-0.14476879922211153
"2011","Ashwell","Hertfordshire","11","COR",52.036752718206806,-0.15988194676033168
"2011","Ashwell","Hertfordshire","12","COR",52.03556987549427,-0.12644012665458265